['MTWTF', 'TFSSM', 'SSMTW', 'MTWTF', 'TFSSM', 'MTWTF', 'TFSSM', 'MTWTF', 'WTFSS', 'FSSMT', 'SSMTW', 'WTFSS']
['FSSMT', 'TWTFS', 'TWTFS', 'MTWTF', 'WTFSS', 'MTWTF', 'FSSMT', 'WTFSS', 'TWTFS', 'SSMTW', 'MTWTF', 'TWTFS']
['TWTFS', 'FSSMT', 'SSMTW', 'MTWTF', 'WTFSS', 'TWTFS', 'TFSSM', 'TWTFS', 'MTWTF', 'TFSSM', 'TWTFS', 'SSMTW']
['TWTFS', 'SSMTW', 'SSMTW', 'MTWTF', 'MTWTF', 'TWTFS', 'SSMTW', 'SSMTW', 'TFSSM', 'MTWTF', 'TWTFS', 'TWTFS']
['TWTFS', 'SSMTW', 'SSMTW', 'MTWTF', 'TFSSM', 'MTWTF', 'TFSSM', 'TWTFS', 'SSMTW', 'TWTFS', 'MTWTF', 'MTWTF']
['TWTFS', 'FSSMT', 'SSMTW', 'MTWTF', 'TFSSM', 'TWTFS', 'TFSSM', 'FSSMT', 'MTWTF', 'MTWTF', 'MTWTF', 'TFSSM']
['FSSMT', 'SSMTW', 'TWTFS', 'MTWTF', 'SSMTW', 'WTFSS', 'TFSSM', 'TFSSM', 'MTWTF', 'TWTFS', 'MTWTF', 'TWTFS']
['TWTFS', 'SSMTW', 'TFSSM', 'MTWTF', 'WTFSS', 'WTFSS', 'FSSMT', 'FSSMT', 'MTWTF', 'WTFSS', 'FSSMT', 'SSMTW']
['WTFSS', 'WTFSS', 'SSMTW', 'MTWTF', 'SSMTW', 'FSSMT', 'WTFSS', 'FSSMT', 'MTWTF', 'FSSMT', 'SSMTW', 'FSSMT']
['SSMTW', 'SSMTW', 'WTFSS', 'MTWTF', 'WTFSS', 'SSMTW', 'TWTFS', 'MTWTF', 'TFSSM', 'TFSSM', 'TFSSM', 'TWTFS']
['MTWTF', 'MTWTF', 'FSSMT', 'FSSMT', 'SSMTW', 'TFSSM', 'MTWTF', 'SSMTW', 'TWTFS', 'TWTFS', 'MTWTF', 'SSMTW']
